                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.45582,                0.33889,                0.88504,                0.95522,                0.82324,                0.89662,                0.73565,                 0.8988,                0.64588,                 1.1412,             0.00067085,             0.00067085,             0.00067085
                    120,                0.48202,                0.37182,                0.92985,                0.90186,                0.84813,                0.89624,                0.72836,                0.89001,                0.64584,                 1.1381,              0.0006659,              0.0006659,              0.0006659
                    121,                0.44311,                0.33996,                0.91927,                0.91745,                0.85298,                0.89206,                0.72888,                0.88734,                0.63941,                   1.13,             0.00066095,             0.00066095,             0.00066095
                    122,                0.45385,                0.34331,                 0.9192,                0.89908,                0.87729,                0.89391,                0.73073,                0.85559,                0.64277,                 1.1034,               0.000656,               0.000656,               0.000656
                    123,                0.43492,                0.34119,                0.89005,                0.91881,                0.83908,                0.89876,                0.72976,                0.85435,                0.62913,                 1.1078,             0.00065105,             0.00065105,             0.00065105
                    124,                 0.4274,                0.33972,                0.90878,                0.86627,                0.84989,                0.89915,                0.72256,                0.85687,                0.62913,                 1.1196,              0.0006461,              0.0006461,              0.0006461
                    125,                0.42424,                0.32184,                0.89162,                 0.8108,                0.89921,                0.89983,                0.72566,                0.87673,                0.64963,                 1.1262,             0.00064115,             0.00064115,             0.00064115
                    126,                0.43095,                0.35461,                0.89969,                0.79988,                0.84187,                0.85934,                0.69653,                0.90566,                0.72472,                 1.1407,              0.0006362,              0.0006362,              0.0006362
                    127,                0.40432,                0.33241,                0.91031,                 0.8767,                0.79135,                0.88854,                0.69888,                0.90999,                0.76846,                 1.1479,             0.00063125,             0.00063125,             0.00063125
                    128,                0.42762,                0.31457,                0.88252,                 0.9179,                0.78253,                0.87434,                0.69698,                0.86511,                0.77642,                 1.1351,              0.0006263,              0.0006263,              0.0006263
                    129,                0.40926,                0.30888,                0.87645,                0.92517,                0.78185,                0.88261,                0.70047,                0.87688,                0.79335,                 1.1343,             0.00062135,             0.00062135,             0.00062135
                    130,                 0.4244,                0.33657,                 0.8985,                0.94334,                0.76514,                0.86168,                0.71278,                0.85258,                0.80634,                 1.1057,              0.0006164,              0.0006164,              0.0006164
                    131,                0.42626,                0.33563,                0.90686,                0.95599,                0.75633,                0.86093,                0.71409,                0.83523,                 0.7943,                 1.0949,             0.00061145,             0.00061145,             0.00061145
                    132,                 0.4183,                 0.3351,                0.90449,                 0.9327,                0.78355,                0.89325,                0.73841,                0.83789,                0.71697,                  1.089,              0.0006065,              0.0006065,              0.0006065
                    133,                0.40264,                0.31865,                0.88939,                0.91027,                0.83937,                0.89776,                0.75174,                0.83627,                0.69467,                 1.0889,             0.00060155,             0.00060155,             0.00060155
                    134,                0.41249,                0.31257,                0.88553,                 0.9251,                0.85948,                0.90789,                  0.757,                0.82961,                0.67289,                 1.0697,              0.0005966,              0.0005966,              0.0005966
                    135,                0.42763,                0.32884,                0.89164,                0.94391,                0.85315,                0.91347,                0.76282,                0.81171,                 0.6579,                 1.0562,             0.00059165,             0.00059165,             0.00059165
                    136,                0.37583,                0.29625,                0.86602,                0.94417,                0.85187,                0.91786,                0.75255,                0.83254,                0.66829,                  1.066,              0.0005867,              0.0005867,              0.0005867
                    137,                0.44089,                0.33939,                0.92259,                 0.9538,                0.84171,                0.93302,                 0.7619,                0.83472,                0.64557,                  1.069,             0.00058175,             0.00058175,             0.00058175
                    138,                0.39513,                0.31314,                0.87011,                0.94906,                0.85315,                0.92945,                0.75833,                0.83707,                0.64553,                 1.0585,              0.0005768,              0.0005768,              0.0005768
                    139,                0.41264,                0.31148,                0.90496,                0.94591,                0.84809,                0.92545,                0.75748,                0.84305,                0.65994,                 1.0604,             0.00057185,             0.00057185,             0.00057185
